seed,member,kind,epochs,threads,params,minutes,core_minutes,val,test,best_ep,file
5,hpix,perpixel,,,,,,,0.04566515720765275,,hpix.json
5,hpix5,perpixel,,,,,,,0.0460205756856912,,hpix5.json
5,hpix,hybrid,,,,,,,,,hpix_corr.json
5,hpix,split_conformal,,,,,,,,,hpix_uq.json
5,hstk,hybrid,,,,,,,,,hstk.json
5,krr_full,krr,,,,9.95,,0.05184604599006804,0.051991366691232624,,krr_full_matern52_n19000.json
5,mlpMSE,mlp,120,10,,5.71,57.1,0.04732399752375869,0.047305167824184056,109,mlpMSE_s5_w1024_d4_n19000_mir.json
5,mlpR,mlpR,100,10,,5.93,59.3,0.04751807867586719,0.04742246445085953,99,mlpR_s5_w1024_d4.json
5,mlp,mlp,400,10,,18.98,189.8,0.04964984995184343,0.049667665848649054,69,mlp_s5_w1024_d4_n19000_mir.json
5,unet,unet,100,10,4382977,618.77,6187.7,0.04733003069532171,0.047350810854178436,99,unet_s5_w48_mir.json
6,fno,fno,100,10,6447873,680.48,6804.8,0.047079282384164485,0.04704588030841666,79,fno_s6_w64_m14_L4_mir.json
6,hpix,perpixel,,,,,,,0.0456187286923647,,hpix.json
6,hpix,hybrid,,,,,,,,,hpix_corr.json
6,hpix,split_conformal,,,,,,,,,hpix_uq.json
6,hstk,hybrid,,,,,,,,,hstk.json
6,krr_full,krr,,,,7.69,,0.05190466273122925,0.051988798197405345,,krr_full_matern52_n19000.json
6,mlpMSE,mlp,120,10,,3.88,38.8,0.04742816569439435,0.04733867602686182,109,mlpMSE_s6_w1024_d4_n19000_mir.json
6,mlpR,mlpR,100,10,,4.09,40.9,0.04746320889973265,0.04732720448035433,99,mlpR_s6_w1024_d4.json
6,mlp,mlp,400,10,,13.24,132.4,0.04997707191005438,0.050028501531917624,39,mlp_s6_w1024_d4_n19000_mir.json
6,unet,unet,100,10,4382977,575.98,5759.8,0.04706146195789935,0.04695732424980848,99,unet_s6_w48_mir.json
7,fno,fno,100,10,6447873,686.65,6866.5,0.04690525370842936,0.04706493021674998,99,fno_s7_w64_m14_L4_mir.json
7,hpix,perpixel,,,,,,,0.045625999179396984,,hpix.json
7,hpix,hybrid,,,,,,,,,hpix_corr.json
7,hpix,split_conformal,,,,,,,,,hpix_uq.json
7,hstk,hybrid,,,,,,,,,hstk.json
7,krr_full,krr,,,,7.72,,0.05200686137022079,0.05198389923985019,,krr_full_matern52_n19000.json
7,mlpMSE,mlp,120,10,,5.05,50.5,0.047216073989556136,0.04747032717336327,119,mlpMSE_s7_w1024_d4_n19000_mir.json
7,mlpR,mlpR,100,10,,5.22,52.2,0.04737839274175905,0.04730470000432652,99,mlpR_s7_w1024_d4.json
7,mlp,mlp,400,10,,16.71,167.1,0.05016947625023145,0.0503084997406527,49,mlp_s7_w1024_d4_n19000_mir.json
7,unet,unet,100,10,4382977,573.41,5734.1,0.04745878444373936,0.04761524062156971,99,unet_s7_w48_mir.json
8,fno,fno,100,10,6447873,793.31,7933.1,0.04780592311679574,0.04694132842418849,99,fno_s8_w64_m14_L4_mir.json
8,hpix,perpixel,,,,,,,0.04565833235806962,,hpix.json
8,hpix,hybrid,,,,,,,,,hpix_corr.json
8,hpix,split_conformal,,,,,,,,,hpix_uq.json
8,hstk,hybrid,,,,,,,,,hstk.json
8,krr_full,krr,,,,9.37,,0.05238731489004742,0.05193417267411436,,krr_full_matern52_n19000.json
8,mlpMSE,mlp,120,10,,5.47,54.7,0.04799386205086429,0.047278514793526745,119,mlpMSE_s8_w1024_d4_n19000_mir.json
8,mlpR,mlpR,100,10,,5.57,55.7,0.04829175234663111,0.047330682071338864,99,mlpR_s8_w1024_d4.json
8,mlp,mlp,400,10,,18.04,180.4,0.05078727160501809,0.04960416496363668,49,mlp_s8_w1024_d4_n19000_mir.json
8,unet,unet,100,10,4382977,676.29,6762.9,0.04846669307331062,0.047559268967639505,99,unet_s8_w48_mir.json
9,fno,fno,100,10,6447873,822.83,8228.3,0.0473790166348182,0.04687953992175815,99,fno_s9_w64_m14_L4_mir.json
9,hpix,perpixel,,,,,,,0.0456357438105755,,hpix.json
9,hpix,hybrid,,,,,,,,,hpix_corr.json
9,hpix,split_conformal,,,,,,,,,hpix_uq.json
9,hstk,hybrid,,,,,,,,,hstk.json
9,krr_full,krr,,,,9.83,,0.05222935633909331,0.051928236443098276,,krr_full_matern52_n19000.json
9,mlpMSE,mlp,120,10,,5.83,58.3,0.04771635158923702,0.04715423248343316,109,mlpMSE_s9_w1024_d4_n19000_mir.json
